Depth (m), Leucine incorporated (pmol L-1 h-1) ,ngC L-1 h-1,PHP (mg C m-3 d-1)
10,100.12,155.186,3.724464
10,71.3,110.515,2.65236
10,98.35,152.4425,3.65862
10,93.61,145.0955,3.482292
10,72.04,111.662,2.679888
10,96.18,149.079,3.577896
28,57.69,89.4195,2.146068
28,36.84,57.102,1.370448
28,58.7,90.985,2.18364
28,38.92,60.326,1.447824
28,72.1,111.755,2.68212
70,7.13,11.0515,0.265236
70,6.31,9.7805,0.234732
70,7,10.85,0.2604
70,6.93,10.7415,0.257796
70,6.24,9.672,0.232128
70,7.08,10.974,0.263376
70,7.69,11.9172136290702,0.286013127097686
100,4.14,6.417,0.154008
100,5.15,7.9825,0.19158
100,4.52,7.006,0.168144
100,4.17,6.4635,0.155124
100,5.11,7.9205,0.190092
100,4.54,7.037,0.168888
128,1.94,3.007,0.072168
128,1.56,2.418,0.058032
128,1.24,1.922,0.046128
128,1.88,2.914,0.069936
128,1.63,2.5265,0.060636
128,1.29,1.9995,0.047988
128,1.58,2.449,0.058776
150,3.01,4.6655,0.111972
150,3.76,5.828,0.139872
150,9.16,14.198,0.340752
150,3.06,4.743,0.113832
150,3.52,5.456,0.130944
150,9.21,14.2755,0.342612
200,3.07,4.7585,0.114204
200,2.7,4.185,0.10044
200,3.08,4.774,0.114576
200,3.18,4.929,0.118296
200,2.76,4.278,0.102672
200,3.28,5.084,0.122016
250,2.13,3.3015,0.079236
250,1.34,2.077,0.049848
250,0.71,1.1005,0.026412
250,2.11,3.2705,0.078492
250,1.27,1.9685,0.047244
250,0.91,1.4105,0.033852
300,1.71,2.6505,0.063612
300,1.66,2.573,0.061752
300,1.91,2.9605,0.071052
300,1.63,2.5265,0.060636
300,1.62,2.511,0.060264
300,1.93,2.9915,0.071796
400,1.39,2.1545,0.051708
400,1.39,2.1545,0.051708
400,1.35,2.0925,0.05022
400,1.35,2.0925,0.05022
400,1.43,2.2165,0.053196
400,1.4,2.17,0.05208
500,0.56,0.868,0.020832
500,0.39,0.6045,0.014508
500,0.57,0.8835,0.021204
500,1.06,1.643,0.039432
500,0.75,1.16187733786418,0.02788505610874
993,0.12,0.186,0.004464
993,0.11,0.1705,0.004092
993,0.12,0.186,0.004464
993,0.11,0.1705,0.004092
1000,0.02,0.031,0.000744
1000,0.03,0.0465,0.001116
1000,0.02,0.031,0.000744
1000,0.02,0.031,0.000744
1000,0.03,0.0465,0.001116
1000,0.02,0.031,0.000744
1200,0.04,0.062,0.001488
1200,0.03,0.0465,0.001116
1200,0.03,0.0465,0.001116
1200,0.04,0.062,0.001488
1200,0.03,0.0465,0.001116
1200,0.03,0.0465,0.001116
