latitude,longitude,Depth (m),PHP (mg C m-3 d-1)
39.001,-68.9977,7.0,0.727203402432
39.001,-68.9977,12.0,0.2961571634784
39.001,-68.9977,20.0,0.665633549256
39.001,-68.9977,25.0,0.22616491998
39.001,-68.9977,40.0,0.031891746669600006
39.001,-68.9977,150.0,0.0061329299376
38.9968,-68.9915,29.0,0.3777039225
38.9968,-68.9915,40.0,0.2177962838436
38.9968,-68.9915,150.0,0.0022499205048000003
38.9795,-68.991,7.0,0.598235175156
38.9795,-68.991,12.0,0.55976831502
38.9795,-68.991,20.0,0.44707172188800004
38.9795,-68.991,38.0,0.5812993316639999
38.9795,-68.991,60.0,0.05083087336440001
38.9795,-68.991,150.0,0.0081755496108
38.9777,-68.9982,5.0,0.7810480882199999
38.9777,-68.9982,10.0,0.679105238352
38.9777,-68.9982,20.0,0.8077057120080001
38.9777,-68.9982,30.0,0.546523428
38.9777,-68.9982,47.0,0.3048010736628
38.9777,-68.9982,150.0,0.032462241145199994
38.9155,-68.9888,5.0,0.5804154823559999
38.9155,-68.9888,10.0,0.33965112905399997
38.9155,-68.9888,18.0,0.443317354668
38.9155,-68.9888,27.0,0.46974373098
38.9155,-68.9888,30.0,0.20717509411200002
38.9155,-68.9888,150.0,0.0133250440176
38.8952,-69.0247,5.0,0.696060631932
38.8952,-69.0247,12.0,0.425695209864
38.8952,-69.0247,20.0,0.641039478288
38.8952,-69.0247,27.0,0.608567556252
38.8952,-69.0247,40.0,0.2861933214804
38.8952,-69.0247,150.0,0.025714121862
38.8755,-69.1088,5.0,0.468550520892
38.8755,-69.1088,12.0,0.6940974685200001
38.8755,-69.1088,20.0,0.745958456124
38.8755,-69.1088,29.0,0.3134006607912
38.8755,-69.1088,40.0,0.087393181032
38.8755,-69.1088,150.0,0.018121974382800003
