Depth (m),ngC L-1 h-1,PHP (mg C m-3 d-1)
1,45.12,1.08288128519993
1,57.873,1.38895556464462
1,49.369,1.18484985665907
3,50.209,1.20501403417756
3,52.906,1.2697460867538
5,55.858,1.34058332672973
5,55.522,1.33251944149314
5,51.288,1.23091009276006
5,58.203,1.39687534168244
10,48.728,1.16947685214316
10,48.23,1.15752418612791
10,53.442,1.28260986071786
14,46.482,1.11555742500883
15,46.323,1.11175274830648
15,47.007,1.12815847168181
15,47.103,1.130462225681
20,39.437,0.946492334338281
20,39.772,0.954520420916013
20,44.258,1.06218243764893
30,33.213,0.797117027474148
30,31.062,0.745496621620283
30,34.155,0.819717245548851
30,31.392,0.753400158881648
40,28.967,0.695215910309254
50,20.781,0.498741771425495
50,21.58,0.517923780854472
50,21.137,0.507281834176058
60,19.823,0.475759240010666
70,18.218,0.437222211998298
70,19.856,0.476550053392049
80,22.924,0.550180832026739
90,18.514,0.444339968170709
90,21.835,0.524044398534005
90,18.09,0.434163036606882
90,17.669,0.424045889245101
100,7.898,0.18954465508142
100,7.54,0.180948260424547
100,11.12,0.266883061309225
150,1.225,0.029410225274503
150,1.235,0.029649739886466
150,1.799,0.043174124926187
200,0.636,0.015269891133383
200,0.744,0.017846278328691
200,0.272,0.006523051469033
200,0.776,0.018624618113753
200,1.01,0.02424
200,0.698,0.01674253535428
250,0.864,0.020747293421172
250,0.661,0.015865472866801
500,0.145,0.00348363165849
500,1.03,0.02472
1000,0.31,0.00744
1000,0.27,0.00648
1000,0.31,0.00744
