METHOD;Station;PCD;POC Fluxes;Discrepancy
RUBALIZ;D341 PAP;181.7142857;45.2038117;-136.510474
RUBALIZ;DY032 PAP;356.2857143;77.61203265;-278.6736816
RUBALIZ;KN207-01 QL-1;163.8571429;42.16146822;-121.6956746
RUBALIZ;KN207-01 QL-2;99.28571429;20.31062351;-78.97509078
RUBALIZ;KN207-03 PS-3&4;191.5714286;165.0005046;-26.57092394
RUBALIZ;MALINA 430;51.57142857;6.704373477;-44.86705509
RUBALIZ;MALINA 540;46.42857143;6.302327262;-40.12624417
RUBALIZ;MALINA 620;445.1428571;5.569616867;-439.5732403
RUBALIZ;PEACETIME FAST;551.5714286;17.26166149;-534.3097671
RUBALIZ;PEACETIME ION;264.4285714;11.67624614;-252.7523253
RUBALIZ;PEACETIME TYR;337.5714286;17.9373636;-319.634065
RUBALIZ;TONGA STATION 8;775.2857143;58.65;-716.6357143
200-1000;D341 PAP;268.7142857;29.55647305;-239.1578127
200-1000;DY032 PAP;249.4285714;51.8;-197.6285714
200-1000;KN207-01 QL-1;166.2857143;40.69476258;-125.5909517
200-1000;KN207-01 QL-2;98.42857143;19.52236107;-78.90621036
200-1000;KN207-03 PS-3&4;195.8571429;133.2423519;-62.61479095
200-1000;MALINA 430;208.5714286;2.621234368;-205.9501942
200-1000;MALINA 540;47.71428571;2.621234368;-45.09305135
200-1000;MALINA 620;563.4285714;2.621234368;-560.8073371
200-1000;PEACETIME FAST;571.2857143;4.421781153;-566.8639331
200-1000;PEACETIME ION;305.8571429;3.794835785;-302.0623071
200-1000;PEACETIME TYR;355.7142857;4.075977018;-351.6383087
200-1000;TONGA STATION 8;837.8571429;19.28083457;-818.5763083
Ez1;D341 PAP;442.7142857;143.1594758;-299.5548099
Ez1;DY032 PAP;868.7142857;266.8;-601.9142857
Ez1;KN207-01 QL-1;166.2857143;51.27980927;-115.005905
Ez1;KN207-03 PS-3&4;195.8571429;229.0184082;33.16126535
Ez1;MALINA 430;51.42857143;7.261442293;-44.16712914
Ez1;MALINA 540;47.71428571;6.880172034;-40.83411368
Ez1;MALINA 620;563.4285714;7.802981935;-555.6255895
Ez1;PEACETIME FAST;571.2857143;24.45296244;-546.8327518
Ez1;PEACETIME ION;369.5714286;26.56748573;-343.0039428
Ez1;PEACETIME TYR;485.2857143;52.50439834;-432.7813159
Ez1;TONGA STATION 8;837.8571429;22.95581284;-814.90133
Ez0.1;D341 PAP;350.4285714;91.18672366;-259.2418478
Ez0.1;DY032 PAP;675;180.7350414;-494.2649586
Ez0.1;KN207-01 QL-1;166.2857143;48.13048761;-118.1552267
Ez0.1;KN207-03 PS-3&4;195.8571429;168.8604847;-26.99665811
Ez0.1;MALINA 430;51.42857143;4.682780883;-46.74579055
Ez0.1;MALINA 540;47.71428571;4.682780883;-43.03150483
Ez0.1;MALINA 620;563.4285714;4.944774099;-558.4837973
Ez0.1;PEACETIME FAST;571.2857143;20.71400911;-550.5717052
Ez0.1;PEACETIME ION;308.1428571;26.56748573;-281.5753714
Ez0.1;PEACETIME TYR;384.1428571;36.78031723;-347.3625399
Ez0.1;TONGA STATION 8;837.8571429;20.31489105;-817.5422518
MLD temperature;D341 PAP;460.1428571;153.5486792;-306.5941779
MLD temperature;DY032 PAP;883.2857143;291.6814205;-591.6042937
MLD temperature;KN207-01 QL-1;220.4285714;54.76783232;-165.6607391
MLD temperature;KN207-01 QL-2;213.4285714;60.20289005;-153.2256814
MLD temperature;KN207-03 PS-3&4;292.2857143;400.3399018;108.0541876
MLD temperature;MALINA 430;51.42857143;6.457128143;-44.97144329
MLD temperature;MALINA 540;64.71428571;12.5;-52.21428571
MLD temperature;MALINA 620;751.8571429;228.9073351;-522.9498078
MLD temperature;PEACETIME FAST;887.5714286;60.0899577;-827.4814709
MLD temperature;PEACETIME ION;533.2857143;89.24217067;-444.0435436
MLD temperature;PEACETIME TYR;684.5714286;171.6229061;-512.9485225
MLD temperature;TONGA STATION 8;1091.142857;43.39645309;-1047.746404
MLD density;D341 PAP;451;148.1332696;-302.8667304
MLD density;DY032 PAP;868.7142857;274.1;-594.6142857
MLD density;KN207-03 PS-3&4;292.2857143;400.3399018;108.0541876
MLD density;MALINA 430;128.7142857;116.8118605;-11.90242526
MLD density;MALINA 540;123.7142857;116.8118605;-6.902425261
MLD density;MALINA 620;751.8571429;228.9073351;-522.9498078
MLD density;PEACETIME FAST;887.5714286;60.0899577;-827.4814709
MLD density;PEACETIME ION;539.4285714;95.55135446;-443.877217
MLD density;PEACETIME TYR;694.8571429;189.5989232;-505.2582197
MLD density;TONGA STATION 8;1147.714286;48.61832207;-1099.095964
PPZ;D341 PAP;374.5714286;104.3311148;-270.2403138
PPZ;DY032 PAP;621.1428571;157.988248;-463.1546092
PPZ;KN207-01 QL-1;166.2857143;48.13048761;-118.1552267
PPZ;KN207-01 QL-2;98.42857143;18.49886099;-79.92971044
PPZ;KN207-03 PS-3&4;195.8571429;209.7803275;13.92318466
PPZ;MALINA 430;51.42857143;6.378774429;-45.049797
PPZ;MALINA 540;47.71428571;5.689705483;-42.02458023
PPZ;MALINA 620;563.4285714;8.433345631;-554.9952258
PPZ;TONGA STATION 8;837.8571429;17.64735701;-820.2097859
