"cruise","station","tot","low","high","R2","points number","xs"
"D341","PAP",31.57,23.4,63.03,0.82,16,95
"DY032","PAP",60.81,53.9,69.13,0.89,82,453
"KN207-03","PS-1",20.12,18.01,22.6,0.8,28,35
"KN207-03","PS-3&4",20.46,17.98,23.58,0.88,42,22
"MALINA","430",9.01,6.71,12.87,0.62,6,60
"MALINA","540",8.66,7.26,10.75,0.93,6,56
"MALINA","620",52.63,40.12,75.81,0.98,6,50
"PEACETIME","FAST",62.13,51.07,75.72,0.92,54,36
"PEACETIME","ION",37.76,34.08,41.97,0.96,31,70
"PEACETIME","TYR",48.64,41.1,57.95,0.95,25,56
"TONGA","STATION 8",80.34,68.68,94.64,0.96,14,62
