"cruise","station","mesopelagic boundaries","PHP estimated (mg C m-2 d-1)","PHP Confidence Interval (mg C m-2 d-1)","R2","points number"
"D341","PAP","(135 ; 726)",15.26,"(11.27 ; 21.23)",0.82,16
"DY032","PAP","(127 ; 751)",24.82,"(21.45 ; 28.8)",0.89,82
"KN207-01","QL-1","(151 ; 490)",11.41,"(9.17 ; 14.34)",0.7,39
"KN207-01","QL-2","(191 ; 783)",6.85,"(4.89 ; 11.49)",0.42,24
"KN207-03","PS-1","(104 ; 490)",13.99,"(12.34 ; 16.03)",0.8,28
"KN207-03","PS-3&4","(110 ; 684)",13.37,"(11.4 ; 15.93)",0.88,42
"MALINA","430","(79 ; 544)",3.54,"(2.36 ; 5.99)",0.62,6
"MALINA","540","(84 ; 558)",3.22,"(2.46 ; 4.52)",0.93,6
"MALINA","620","(95 ; 609)",30.99,"(22.73 ; 44.7)",0.98,6
"PEACETIME","FAST","(109 ; 628)",38.55,"(31.71 ; 46.85)",0.92,54
"PEACETIME","ION","(118 ; 498)",18.47,"(16.52 ; 20.8)",0.96,31
"PEACETIME","TYR","(111 ; 606)",23.6,"(19.73 ; 28.38)",0.95,25
"TONGA","STATION 8","(153 ; 702)",54.16,"(45.88 ; 64.12)",0.96,14
